generation,top_elo,mean_elo,MyLife,OppLife,LifeDanger,LowLifeEnabler,MyBoardPow,OppBoardPow,MyChars,OppChars,MyBlockers,OppBlockers,OppRested,MyActiveAtk,MyHand,OppHand,MyCounterReserve,MyActiveDon,OppActiveDon,MyAttachedDon,MyDeck,OppDeck,MyTrash,FinishPressure,LethalProximity,AltWinProgress
1,1512,1500,2.330,-7.789,-2.045,0.279,13.761,-15.132,1.022,-1.966,-0.070,0.019,0.080,0.922,1.075,-1.424,1.495,-0.130,-0.382,0.444,-0.033,0.419,-0.541,3.403,1.963,0.007
2,1512,1500,1.920,-5.616,-1.404,0.000,14.571,-10.556,1.360,-1.715,0.100,-0.352,0.313,0.729,2.124,-1.020,2.043,0.184,-0.765,0.084,0.070,-0.069,0.000,2.505,2.140,1.200
3,1512,1500,2.177,-11.056,-1.594,0.141,17.625,-9.466,1.232,-1.969,0.318,-0.334,-0.124,1.680,1.471,-0.946,1.204,-0.327,-1.461,0.753,0.042,0.501,-0.664,1.349,2.231,1.480
4,1512,1500,1.840,-5.541,-1.616,0.012,11.943,-3.571,2.829,-1.517,-0.549,-0.627,0.076,0.076,3.693,-1.600,1.647,-0.327,-0.282,-0.147,-0.523,-0.333,-0.498,0.806,1.290,1.963
