generation,top_elo,mean_elo,MyLife,OppLife,LifeDanger,LowLifeEnabler,MyBoardPow,OppBoardPow,MyChars,OppChars,MyBlockers,OppBlockers,OppRested,MyActiveAtk,MyHand,OppHand,MyCounterReserve,MyActiveDon,OppActiveDon,MyAttachedDon,MyDeck,OppDeck,MyTrash,FinishPressure,LethalProximity,AltWinProgress
1,1541,1500,1.865,-5.590,-1.694,0.237,14.253,-10.053,1.627,-2.060,0.584,-0.431,0.297,0.151,2.000,-1.450,2.144,0.486,-1.174,-0.008,-0.259,0.235,0.385,2.934,2.676,1.310
2,1543,1489,1.865,-5.590,-1.694,0.237,14.253,-10.053,1.627,-2.060,0.584,-0.431,0.297,0.151,2.000,-1.450,2.144,0.486,-1.174,-0.008,-0.259,0.235,0.385,2.934,2.676,1.310
3,1558,1490,1.865,-5.590,-1.694,0.237,14.253,-10.053,1.627,-2.060,0.584,-0.431,0.297,0.151,2.000,-1.450,2.144,0.486,-1.174,-0.008,-0.259,0.235,0.385,2.934,2.676,1.310
