generation,top_elo,mean_elo,MyLife,OppLife,LifeDanger,LowLifeEnabler,MyBoardPow,OppBoardPow,MyChars,OppChars,MyBlockers,OppBlockers,OppRested,MyActiveAtk,MyHand,OppHand,MyCounterReserve,MyActiveDon,OppActiveDon,MyAttachedDon,MyDeck,OppDeck,MyTrash,FinishPressure,LethalProximity,AltWinProgress
1,1512,1500,1.920,-5.616,-1.404,0.000,14.571,-10.556,1.360,-1.715,0.100,-0.352,0.313,0.729,2.124,-1.020,2.043,0.184,-0.765,0.084,0.070,-0.069,0.000,2.505,2.140,1.200
2,1518,1489,1.607,-5.098,-1.084,-0.349,14.452,-10.441,1.379,-1.150,-0.077,-0.778,0.314,0.559,1.732,-0.841,1.803,0.075,-0.442,0.168,-0.512,0.496,0.307,2.258,1.542,1.288
