generation,top_elo,mean_elo,MyLife,OppLife,LifeDanger,LowLifeEnabler,MyBoardPow,OppBoardPow,MyChars,OppChars,MyBlockers,OppBlockers,OppRested,MyActiveAtk,MyHand,OppHand,MyCounterReserve,MyActiveDon,OppActiveDon,MyAttachedDon,MyDeck,OppDeck,MyTrash,FinishPressure,LethalProximity,AltWinProgress
1,1512,1500,2.140,-6.188,-1.321,-0.379,14.147,-10.472,1.452,-1.219,0.225,-0.459,0.176,0.821,2.005,-1.123,1.753,-0.254,-0.710,-0.028,0.267,0.217,-0.539,2.246,2.061,1.380
2,1529,1489,1.996,-5.155,-1.712,0.108,14.601,-10.319,1.443,-1.969,0.206,0.149,0.364,0.729,2.216,-1.022,1.857,0.025,-1.033,0.297,-0.349,-0.115,0.041,2.697,1.972,1.472
